t_s,hora,rng_m,rng_var,rng_min,rng_max,flow_q,flow_dist_m,px_x,px_y
3.0,09:30:31,0.14,0.0,0.02,12.0,55.0,0.14,0.00426,0.0
6.0,09:30:34,0.14,0.0,0.02,12.0,61.0,0.14,0.0,0.0
9.1,09:30:37,0.14,0.0,0.02,12.0,59.0,0.14,0.00426,0.0
12.1,09:30:40,0.13,0.0,0.02,12.0,62.0,0.14,0.01917,0.00213
15.2,09:30:43,0.14,0.0,0.02,12.0,62.0,0.14,0.05325,0.00639
18.3,09:30:46,0.13,0.0,0.02,12.0,65.0,0.14,0.00213,0.0
21.3,09:30:49,0.14,0.0,0.02,12.0,63.0,0.14,0.00426,0.0
24.3,09:30:52,0.14,0.0,0.02,12.0,64.0,0.135,0.03195,0.00213
27.3,09:30:55,0.14,0.0,0.02,12.0,66.0,0.14,0.0,0.00213
30.5,09:30:59,0.14,0.0,0.02,12.0,66.0,0.14,0.00213,0.0
33.5,09:31:02,0.15,0.0,0.02,12.0,66.0,0.14,0.00426,0.0
36.7,09:31:05,0.14,0.0,0.02,12.0,65.0,0.14,-0.00426,0.0
39.9,09:31:08,0.14,0.0,0.02,12.0,64.0,0.14,-0.00213,0.0
42.8,09:31:11,0.13,0.0,0.02,12.0,65.0,0.13,-0.00213,0.0
45.8,09:31:14,0.14,0.0,0.02,12.0,64.0,0.14,-0.00213,0.0
48.9,09:31:17,0.14,0.0,0.02,12.0,53.0,0.14,-0.00639,0.0
51.9,09:31:20,0.14,0.0,0.02,12.0,63.0,0.14,-0.00213,0.0
54.9,09:31:23,0.14,0.0,0.02,12.0,64.0,0.14,0.0,0.0
58.1,09:31:26,0.14,0.0,0.02,12.0,58.0,0.14,0.0,0.0
61.2,09:31:29,0.14,0.0,0.02,12.0,63.0,0.14,-0.00213,0.0
64.2,09:31:32,0.14,0.0,0.02,12.0,68.0,0.14,-0.00213,0.00213
67.2,09:31:35,0.14,0.0,0.02,12.0,59.0,0.14,-0.00426,0.0
70.2,09:31:38,0.13,0.0,0.02,12.0,59.0,0.15,-0.00426,0.0
73.2,09:31:41,0.13,0.0,0.02,12.0,63.0,0.14,-0.00639,0.0
76.2,09:31:44,0.14,0.0,0.02,12.0,63.0,0.14,-0.00639,0.0
79.2,09:31:47,0.14,0.0,0.02,12.0,65.0,0.14,0.00852,0.0
82.2,09:31:50,0.14,0.0,0.02,12.0,61.0,0.14,0.01065,-0.00213
85.2,09:31:53,0.14,0.0,0.02,12.0,64.0,0.14,0.01491,0.0
88.3,09:31:56,0.14,0.0,0.02,12.0,56.0,0.15,0.00852,0.0
91.3,09:31:59,0.15,0.0,0.02,12.0,63.0,0.13,0.00852,0.0
94.3,09:32:02,0.14,0.0,0.02,12.0,67.0,,0.0,0.0
97.4,09:32:05,0.14,0.0,0.02,12.0,68.0,0.14,0.02556,-0.00213
100.4,09:32:08,0.13,0.0,0.02,12.0,67.0,0.14,-0.00426,0.0
103.5,09:32:12,0.15,0.0,0.02,12.0,55.0,0.14,-0.03834,0.0
106.6,09:32:15,0.14,0.0,0.02,12.0,59.0,0.14,0.01065,0.0
109.6,09:32:18,0.15,0.0,0.02,12.0,58.0,0.15,0.00213,0.0
112.5,09:32:21,0.14,0.0,0.02,12.0,59.0,0.15,0.01065,0.0
115.5,09:32:24,0.14,0.0,0.02,12.0,70.0,0.14,0.0,0.0
118.5,09:32:27,0.14,0.0,0.02,12.0,65.0,0.14,0.00852,0.0
121.4,09:32:29,0.15,0.0,0.02,12.0,67.0,0.14,0.00426,0.0
124.4,09:32:32,0.13,0.0,0.02,12.0,66.0,0.14,-0.02982,0.0
127.7,09:32:36,0.14,0.0,0.02,12.0,60.0,0.13,0.00213,0.0
130.6,09:32:39,0.14,0.0,0.02,12.0,64.0,0.14,-0.02982,0.0
133.7,09:32:42,0.14,0.0,0.02,12.0,67.0,0.14,0.00213,0.0
136.5,09:32:45,0.14,0.0,0.02,12.0,64.0,0.145,-0.02982,0.0
139.5,09:32:48,0.14,0.0,0.02,12.0,61.0,0.13,-0.00426,0.0
142.6,09:32:51,0.13,0.0,0.02,12.0,65.0,0.14,0.0,0.0
145.6,09:32:54,0.14,0.0,0.02,12.0,61.0,0.14,0.00426,0.0
148.6,09:32:57,0.14,0.0,0.02,12.0,61.0,0.14,-0.00213,0.0
151.5,09:33:00,0.14,0.0,0.02,12.0,60.0,0.14,-0.00213,0.0
154.5,09:33:03,0.13,0.0,0.02,12.0,60.0,0.14,0.00639,0.00213
157.5,09:33:06,0.15,0.0,0.02,12.0,67.0,0.14,-0.01704,0.0
160.5,09:33:09,0.13,0.0,0.02,12.0,56.0,0.14,0.02343,0.0
163.4,09:33:11,0.14,0.0,0.02,12.0,53.0,0.19,-0.00213,0.00426
166.5,09:33:15,0.35,0.0001,0.02,12.0,82.0,0.99,0.01278,0.0
169.4,09:33:17,0.96,0.0002,0.02,12.0,67.0,0.96,-0.03621,0.00639
172.5,09:33:21,0.97,0.0003,0.02,12.0,45.0,0.995,-0.00213,-0.00213
175.5,09:33:24,1.0,0.0003,0.02,12.0,59.0,0.965,-0.01491,0.0
178.5,09:33:27,0.98,0.0003,0.02,12.0,45.0,0.965,-0.00639,-0.01278
181.5,09:33:30,1.0,0.0003,0.02,12.0,41.0,0.3,0.01065,0.00852
184.4,09:33:32,0.16,0.0,0.02,12.0,69.0,0.98,0.01917,0.00639
187.5,09:33:36,0.92,0.0002,0.02,12.0,75.0,0.9,-0.00213,-0.00426
190.4,09:33:38,0.92,0.0002,0.02,12.0,65.0,0.9,0.00852,-0.00639
193.2,09:33:41,0.91,0.0002,0.02,12.0,102.0,0.29,0.0,-0.00639
196.2,09:33:44,0.15,0.0,0.02,12.0,79.0,0.14,-0.00213,0.0
199.2,09:33:47,0.14,0.0,0.02,12.0,68.0,0.13,0.0,0.0
202.3,09:33:50,0.14,0.0,0.02,12.0,70.0,0.14,-0.00213,0.0
205.3,09:33:53,0.14,0.0,0.02,12.0,71.0,0.14,0.00213,0.0
208.2,09:33:56,0.14,0.0,0.02,12.0,71.0,0.14,0.0,0.0
211.3,09:33:59,0.14,0.0,0.02,12.0,69.0,0.14,-0.00852,0.0
214.5,09:34:03,0.14,0.0,0.02,12.0,73.0,0.14,0.00426,0.0
217.3,09:34:05,0.14,0.0,0.02,12.0,73.0,0.14,0.00426,0.0
220.3,09:34:08,0.15,0.0,0.02,12.0,72.0,0.14,0.0,0.0
223.3,09:34:11,0.14,0.0,0.02,12.0,70.0,0.15,0.00426,0.0
226.4,09:34:14,0.14,0.0,0.02,12.0,70.0,0.14,0.0,0.0
229.4,09:34:17,0.14,0.0,0.02,12.0,68.0,0.14,0.00852,0.0
232.5,09:34:21,0.14,0.0,0.02,12.0,74.0,0.14,0.00213,0.0
235.5,09:34:24,0.15,0.0,0.02,12.0,73.0,0.15,0.0,0.0
238.5,09:34:27,0.14,0.0,0.02,12.0,70.0,0.14,0.0,0.0
241.5,09:34:30,0.15,0.0,0.02,12.0,63.0,0.14,0.00213,0.0
244.5,09:34:33,0.14,0.0,0.02,12.0,68.0,0.14,0.00213,0.0
247.4,09:34:35,0.15,0.0,0.02,12.0,71.0,0.15,0.00426,0.00213
250.4,09:34:38,0.14,0.0,0.02,12.0,71.0,0.14,0.0,0.00213
253.5,09:34:42,0.14,0.0,0.02,12.0,68.0,0.14,0.0,0.0
256.4,09:34:44,0.14,0.0,0.02,12.0,72.0,0.14,-0.00213,0.0
259.3,09:34:47,0.14,0.0,0.02,12.0,71.0,0.15,-0.01065,0.0
262.3,09:34:50,0.14,0.0,0.02,12.0,66.0,0.14,0.0,0.0
265.4,09:34:53,0.15,0.0,0.02,12.0,71.0,0.14,0.00426,0.0
268.4,09:34:56,0.14,0.0,0.02,12.0,66.0,0.13,0.0,0.0
271.4,09:34:59,0.13,0.0,0.02,12.0,71.0,0.14,0.00426,0.0
274.6,09:35:03,0.14,0.0,0.02,12.0,73.0,0.14,0.0,0.0
277.6,09:35:06,0.14,0.0,0.02,12.0,64.0,0.15,0.00213,0.0
280.5,09:35:09,0.14,0.0,0.02,12.0,66.0,0.13,0.0,0.0
283.5,09:35:12,0.14,0.0,0.02,12.0,70.0,0.15,0.0,0.0
286.5,09:35:15,0.14,0.0,0.02,12.0,69.0,0.14,0.0,0.0
289.4,09:35:17,0.14,0.0,0.02,12.0,68.0,0.14,0.0,0.0
292.4,09:35:20,0.14,0.0,0.02,12.0,69.0,0.14,-0.00213,0.0
295.4,09:35:23,0.14,0.0,0.02,12.0,68.0,0.14,-0.00213,0.0
298.5,09:35:27,0.14,0.0,0.02,12.0,69.0,0.14,0.0,0.0
301.5,09:35:30,0.13,0.0,0.02,12.0,69.0,0.14,0.0,0.0
304.6,09:35:33,0.14,0.0,0.02,12.0,72.0,0.14,0.0,0.0
307.5,09:35:36,0.14,0.0,0.02,12.0,67.0,0.15,0.0,0.0
310.4,09:35:38,0.14,0.0,0.02,12.0,71.0,0.145,-0.00213,0.0
313.4,09:35:41,0.14,0.0,0.02,12.0,67.0,0.14,0.0,0.0
